tconst,titleType,primaryTitle,year,runtimeMinutes,averageRating,numVotes,d1,dn1,d2,dn2,w1,wn1,w2,wn2,w3,wn3
tt0089630,movie,Mr. Wrong,1984,88,5.5,176,nm0696414,Gaylene Preston,NA,NA,nm0397273,Elizabeth Jane Howard,nm0614276,Geoff Murphy,nm0696414,Gaylene Preston
tt0090190,movie,The Toxic Avenger,1984,82,6.3,23047,nm0381230,Michael Herz,nm0442207,Lloyd Kaufman,nm0442207,Lloyd Kaufman,nm0728766,Joe Ritter,nm0855988,Gay Partington Terry
tt0090322,movie,Wild beasts - Belve feroci,1984,87,5.4,769,nm10304264,Franco Prosperi,NA,NA,nm10304264,Franco Prosperi,NA,NA,NA,NA
tt0090866,movie,Combat Shock,1984,91,6.4,2425,nm0320546,Buddy Giovinazzo,NA,NA,nm0320546,Buddy Giovinazzo,NA,NA,NA,NA
tt0091561,movie,Blood Theatre,1984,75,2.9,446,nm0707691,Rick Sloane,NA,NA,nm0707691,Rick Sloane,NA,NA,NA,NA
tt0091825,movie,Devil Fetus 2: The Rape After,1984,92,6,83,nm0490486,Moon-Tong Lau,NA,NA,nm0490486,Moon-Tong Lau,NA,NA,NA,NA
tt0091932,movie,Shadows Run Black,1984,88,3.1,337,nm0003410,Howard Heard,NA,NA,nm0476177,Craig Kusaba,nm0397261,Duke Howard,NA,NA
tt0100978,movie,Yan gui fa kuang,1984,93,6.5,86,nm0481681,David Lai,NA,NA,nm1358351,John Au,NA,NA,NA,NA
tt0124014,movie,The Mutilator,1984,86,5.3,3240,nm0235320,John Douglass,nm0177908,Buddy Cooper,nm0177908,Buddy Cooper,NA,NA,NA,NA
tt0125510,movie,Splatter University,1984,78,3.9,1287,nm0354286,Richard W. Haines,NA,NA,nm0192398,Michael Cunningham,nm0354286,Richard W. Haines,nm0584386,John Elias Michalakis
tt0129861,movie,The Dark Side of Midnight,1984,108,3.5,115,nm0647829,Wes Olsen,NA,NA,nm0647829,Wes Olsen,NA,NA,NA,NA
tt0130040,movie,The Jar,1984,85,2.3,230,nm0869115,Bruce Toscano,NA,NA,nm0103237,George Bradley,NA,NA,NA,NA
tt0130594,movie,Dark Enemy,1984,82,5.8,40,nm0277378,Colin Finbow,NA,NA,nm0277378,Colin Finbow,NA,NA,NA,NA
tt0141880,movie,Tales of the Third Dimension,1984,85,5.3,90,nm0570821,Thom McIntyre,nm0244110,Todd Durham,nm0244110,Todd Durham,nm0444848,Worth Keeter,nm0570821,Thom McIntyre
tt0156066,movie,"Shake, Rattle & Roll",1984,124,6.8,58,nm0076075,Ishmael Bernal,nm1028275,Emmanuel H. Borlaza,nm1010368,Jose N. Carreon,nm0480350,Amado Lacuesta,nm0209213,Uro Q. dela Cruz
tt0156072,movie,Shree Krishnaparanthu,1984,\N,7.1,85,nm0080279,P. Bhaskaran,nm0898565,A. Vincent,\N,NA,NA,NA,NA,NA
tt0156843,movie,Night of the Ghouls,1984,69,3.7,2078,nm0000248,Edward D. Wood Jr.,NA,NA,nm0000248,Edward D. Wood Jr.,NA,NA,NA,NA
tt0165689,movie,Clash,1984,92,4.7,54,nm0217779,Raphaël Delpard,NA,NA,nm0217779,Raphaël Delpard,NA,NA,NA,NA
tt0174441,movie,'Babicky dobíjejte presne!',1984,101,5.8,79,nm0753015,Ladislav Rychman,NA,NA,nm0433105,Jirí Just,nm0753015,Ladislav Rychman,nm8904731,NA
tt0174918,movie,Ningyo densetsu,1984,110,6.8,85,nm0407466,Toshiharu Ikeda,NA,NA,nm0632803,Takuya Nishioka,NA,NA,NA,NA
tt0176097,movie,Rocktober Blood,1984,93,4.9,533,nm0780933,Beverly Sebastian,NA,NA,nm0780944,Ferd Sebastian,nm0780933,Beverly Sebastian,NA,NA
tt0181012,movie,Sole Survivor,1984,85,6.1,1236,nm0248054,Thom Eberhardt,NA,NA,nm0248054,Thom Eberhardt,NA,NA,NA,NA
tt0182702,movie,Amazing Stories,1984,\N,5.5,41,nm0266645,Ao-Hsin Chin,NA,NA,nm4149515,Yu-Kang Chao,nm2502938,Hsin Wei,NA,NA
tt0185976,movie,Carnage,1984,91,2.9,415,nm0288958,Andy Milligan,NA,NA,nm0288958,Andy Milligan,NA,NA,NA,NA
tt0218937,movie,The Devil's Gift,1984,90,2.6,392,nm0078246,Kenneth J. Berton,NA,NA,nm0078246,Kenneth J. Berton,nm0894066,José Vergelin,nm0641369,Hayden O'Hara
tt0222344,movie,Satan's Blade,1984,82,4.5,432,nm0144997,L. Scott Castillo Jr.,NA,NA,nm0144997,L. Scott Castillo Jr.,nm0191060,Thomas Cue,NA,NA
tt0235406,movie,The Game,1984,84,3.2,344,nm0714215,Bill Rebane,NA,NA,nm0037852,William Arthur,nm2137639,Larry Dreyfus,NA,NA
tt0253514,movie,Purana Mandir,1984,144,6.4,405,nm0708913,Shyam Ramsay,nm0708917,Tulsi Ramsay,nm2259697,Siddiqui M.S. Rahman,nm1672155,Dr. Gurdeep,nm1915608,J.K. Ahuja
