tconst,titleType,primaryTitle,year,runtimeMinutes,averageRating,numVotes,d1,dn1,d2,dn2,w1,wn1,w2,wn2,w3,wn3
tt0196172,movie,Three Tales of Terror,1912,50,3.6,10,nm0892739,Claudius Veltée,nm0281389,Luise Fleck,\N,NA,NA,NA,NA,NA
tt0202566,movie,Satana,1912,\N,5.4,16,nm0535957,Luigi Maggi,NA,NA,nm1880079,Friedrich G. Klopstock,nm0590683,John Milton,NA,NA
tt0003419,movie,The Student of Prague,1913,85,6.5,1619,nm0917467,Paul Wegener,nm0753233,Stellan Rye,nm0263912,Hanns Heinz Ewers,nm0210503,Alfred de Musset,NA,NA
tt0003643,movie,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,78,6.5,1040,nm0000428,D.W. Griffith,NA,NA,nm0000590,Edgar Allan Poe,nm0000428,D.W. Griffith,NA,NA
tt0003869,movie,The Dream Woman,1914,\N,5.7,9,nm0349785,Alice Guy,NA,NA,nm0172741,Wilkie Collins,nm0349785,Alice Guy,NA,NA
tt0004013,movie,The Ghost Breaker,1914,60,5.1,17,nm0001124,Cecil B. DeMille,nm0002177,Oscar Apfel,nm0002177,Oscar Apfel,nm0001124,Cecil B. DeMille,nm0225469,Paul Dickey
tt0004121,movie,Der Hund von Baskerville,1914,65,5.2,51,nm0576901,Rudolf Meinert,NA,NA,nm0236279,Arthur Conan Doyle,nm0652650,Richard Oswald,nm7402155,NA
tt0004573,movie,Ein seltsamer Fall,1914,50,5.9,9,nm0533048,Max Mack,NA,NA,nm0652650,Richard Oswald,NA,NA,NA,NA
tt0004026,movie,The Golem,1915,60,6.8,1000,nm0301961,Henrik Galeen,nm0917467,Paul Wegener,nm0301961,Henrik Galeen,nm0917467,Paul Wegener,NA,NA
tt0005231,movie,The Hound of the Baskervilles,1915,50,2.9,17,nm2542573,Willy Zeyn,NA,NA,\N,NA,NA,NA,NA,NA
tt0005615,movie,Life Without Soul,1915,70,6.8,23,nm0806961,Joseph W. Smiley,NA,NA,nm0325367,Jesse J. Goldburg,nm0791217,Mary Shelley,NA,NA
tt0005772,movie,Mortmain,1915,\N,5.9,8,nm0551375,Theodore Marston,NA,NA,nm0078442,Marguerite Bertsch,nm0870677,Arthur Chesney Train,NA,NA
tt0006238,movie,Zhenshchina vampir,1915,\N,7,23,nm0869645,Viktor Tourjansky,NA,NA,nm0436576,Anatoli Kamensky,NA,NA,NA,NA
tt0005513,movie,"Der Hund von Baskerville, 3. Teil - Das unheimliche Zimmer",1916,\N,3.8,16,nm0652650,Richard Oswald,NA,NA,nm0236279,Arthur Conan Doyle,nm0652650,Richard Oswald,NA,NA
tt0005514,movie,"Der Hund von Baskerville, 4. Teil",1916,\N,3.6,16,nm0652650,Richard Oswald,NA,NA,nm0236279,Arthur Conan Doyle,nm0652650,Richard Oswald,NA,NA
tt0005529,movie,Blind Justice,1916,100,6.8,239,nm0159725,Benjamin Christensen,NA,NA,nm0159725,Benjamin Christensen,NA,NA,NA,NA
tt0006820,movie,"Homunculus, 1. Teil",1916,69,6.1,68,nm0513617,Otto Rippert,NA,NA,nm1720536,Robert Reinert,NA,NA,NA,NA
tt0007107,movie,The Mysteries of Myra,1916,\N,5.6,8,nm0923594,Leopold Wharton,nm0923603,Theodore Wharton,nm0140569,Hereward Carrington,nm0323766,Charles W. Goddard,NA,NA
tt0007183,movie,The Queen of Spades,1916,63,7.1,570,nm0698839,Yakov Protazanov,NA,NA,nm0701090,Alexander Pushkin,nm0652974,Fyodor Otsep,nm0698839,Yakov Protazanov
tt0228718,movie,The Picture of Dorian Gray,1916,\N,5.7,19,nm0244340,Fred W. Durrant,NA,NA,nm0847967,Rowland Talbot,nm0928492,Oscar Wilde,NA,NA
tt0317165,movie,The Black Night,1916,\N,4.8,10,nm0621797,Percy Nash,NA,NA,nm0662462,Louis N. Parker,NA,NA,NA,NA
tt0402325,movie,The Kiss of a Vampire,1916,\N,6.3,14,\N,NA,NA,NA,\N,NA,NA,NA,NA,NA
tt5505320,movie,Homunculus,1916,360,6.7,28,nm0513617,Otto Rippert,NA,NA,nm1720536,Robert Reinert,NA,NA,NA,NA
tt0005951,movie,Satan's Rhapsody,1917,55,6.9,527,nm0654581,Nino Oxilia,NA,NA,nm0268750,Alberto Fassini,nm0553806,Fausto Maria Martini,NA,NA
tt0007111,movie,A Night of Horror,1917,56,5.7,7,nm0652650,Richard Oswald,nm0733208,Arthur Robison,nm0733208,Arthur Robison,NA,NA,NA,NA
tt0007854,movie,The Devil's Assistant,1917,\N,6.2,11,nm0689471,Harry A. Pollard,NA,NA,nm0402239,J. Edward Hungerford,NA,NA,NA,NA
tt0007983,movie,Furcht,1917,72,6.3,109,nm0927468,Robert Wiene,NA,NA,nm0927468,Robert Wiene,NA,NA,NA,NA
tt0008099,movie,Hilde Warren und der Tod,1917,80,5.9,84,nm0562004,Joe May,NA,NA,nm0000485,Fritz Lang,NA,NA,NA,NA
tt0008252,movie,Malombra,1917,75,6.5,74,nm0303120,Carmine Gallone,NA,NA,nm0283873,Antonio Fogazzaro,NA,NA,NA,NA
tt0176776,movie,The Golem and the Dancing Girl,1917,\N,6.5,24,nm0322843,Rochus Gliese,nm0917467,Paul Wegener,nm0917467,Paul Wegener,NA,NA,NA,NA
tt0478582,movie,Die Gespensterstunde,1917,56,5.6,9,nm0300487,Urban Gad,NA,NA,nm0300487,Urban Gad,NA,NA,NA,NA
tt0008825,movie,Sacrifice,1918,88,5.3,13,nm0407778,Eugen Illés,nm0458837,Joseph Klein,nm0263912,Hanns Heinz Ewers,nm0296193,Carl Froelich,nm1802888,Georg Tatzelt
tt0008854,movie,The Eyes of the Mummy,1918,63,5.5,527,nm0523932,Ernst Lubitsch,NA,NA,nm0473134,Hanns Kräly,nm0708147,Emil Rameau,NA,NA
tt0008978,movie,The Craving,1918,50,4.9,50,nm0285643,Francis Ford,nm0000406,John Ford,nm0285643,Francis Ford,nm0000406,John Ford,NA,NA
tt0008826,movie,Alraune,1919,80,5.6,32,nm0002031,Michael Curtiz,nm0296023,Edmund Fritz,nm0263912,Hanns Heinz Ewers,nm0266191,Richárd Falk,NA,NA
tt0010215,movie,The Haunted Bedroom,1919,\N,6.6,15,nm0629243,Fred Niblo,NA,NA,nm0837989,C. Gardner Sullivan,NA,NA,NA,NA
tt0010307,movie,J'accuse!,1919,166,7.7,1291,nm0304098,Abel Gance,NA,NA,nm0304098,Abel Gance,NA,NA,NA,NA
tt0010356,movie,Lightning Bryce,1919,300,5.7,37,nm0403636,Paul Hurst,NA,NA,nm0104941,Joe Brandt,nm0309567,Harvey Gates,NA,NA
tt0010559,movie,Die Pest in Florenz,1919,92,6.4,107,nm0513617,Otto Rippert,NA,NA,nm0000485,Fritz Lang,nm0000590,Edgar Allan Poe,NA,NA
tt0010793,movie,The Dance of Death,1919,84,6.5,11,nm0513617,Otto Rippert,NA,NA,nm0000485,Fritz Lang,NA,NA,NA,NA
tt0010821,movie,Eerie Tales,1919,112,6.6,396,nm0652650,Richard Oswald,NA,NA,nm0374316,Anselma Heine,nm0509510,Robert Liebmann,nm0000590,Edgar Allan Poe
tt0247195,movie,The Beetle,1919,\N,6.1,7,nm0064508,Alexander Butler,NA,NA,nm0088583,Helen Blizzard,nm0550647,Richard Marsh,NA,NA
tt0010323,movie,The Cabinet of Dr. Caligari,1920,76,8.1,50903,nm0927468,Robert Wiene,NA,NA,nm0562346,Carl Mayer,nm0417917,Hans Janowitz,NA,NA
tt0010502,movie,Nachtgestalten,1920,106,6.4,8,nm0652650,Richard Oswald,NA,NA,nm0652650,Richard Oswald,nm0834726,Karl Hans Strobl,NA,NA
tt0011031,movie,The Hunchback and the Dancer,1920,50,6.4,44,nm0003638,F.W. Murnau,NA,NA,nm0562346,Carl Mayer,NA,NA,NA,NA
tt0011094,movie,The Dark Mirror,1920,50,5.5,11,nm0316794,Charles Giblyn,NA,NA,nm0408863,E. Magnus Ingleton,nm0888539,Louis Joseph Vance,NA,NA
tt0011130,movie,Dr. Jekyll and Mr. Hyde,1920,82,7,4391,nm0731910,John S. Robertson,NA,NA,nm0829044,Robert Louis Stevenson,nm0073238,Clara Beranger,nm0838370,Thomas Russell Sullivan
tt0011131,movie,Dr. Jekyll and Mr. Hyde,1920,40,5.3,108,nm0370746,J. Charles Haydon,NA,NA,nm0370746,J. Charles Haydon,nm0829044,Robert Louis Stevenson,NA,NA
tt0011221,movie,Genuine: The Tragedy of a Vampire,1920,88,6,772,nm0927468,Robert Wiene,NA,NA,nm0562346,Carl Mayer,NA,NA,NA,NA
tt0011234,movie,Go and Get It,1920,70,4.4,12,nm0843364,Henry Roberts Symonds,nm0624714,Marshall Neilan,nm0265572,Marion Fairfax,NA,NA,NA,NA
tt0011237,movie,The Golem,1920,91,7.2,5871,nm0091380,Carl Boese,nm0917467,Paul Wegener,nm0301961,Henrik Galeen,nm0917467,Paul Wegener,NA,NA
tt0011243,movie,The Great London Mystery,1920,\N,4.7,7,nm0713223,Charles Raymond,NA,NA,nm0521002,Hope Loring,nm0713223,Charles Raymond,NA,NA
tt0011318,movie,Der Hund von Baskerville - 6. Teil: Das Haus ohne Fenster,1920,157,3.3,14,nm2542573,Willy Zeyn,NA,NA,nm0236279,Arthur Conan Doyle,nm0509510,Robert Liebmann,NA,NA
tt0011348,movie,The Head of Janus,1920,107,7.1,85,nm0003638,F.W. Murnau,NA,NA,nm0829044,Robert Louis Stevenson,nm0417917,Hans Janowitz,NA,NA
tt0011565,movie,The Penalty,1920,90,7.4,1867,nm0941637,Wallace Worsley,NA,NA,nm0606563,Gouverneur Morris,nm0448981,Charles Kenyon,nm0518844,Philip Lonergan
tt0011607,movie,The Parson's Widow,1920,71,7.2,966,nm0003433,Carl Theodor Dreyer,NA,NA,nm0003433,Carl Theodor Dreyer,nm0418114,Kristofer Janson,NA,NA
tt0011654,movie,Satanas,1920,60,7,50,nm0003638,F.W. Murnau,NA,NA,nm0927468,Robert Wiene,NA,NA,NA,NA
tt0011309,movie,The Hound of the Baskervilles,1921,\N,3.5,23,nm0002061,Maurice Elvey,NA,NA,nm0236279,Arthur Conan Doyle,nm0254674,William J. Elliott,nm1123587,Dorothy Westlake
tt0012364,movie,The Phantom Carriage,1921,100,8.1,9114,nm0803705,Victor Sjöström,NA,NA,nm0481248,Selma Lagerlöf,nm0803705,Victor Sjöström,NA,NA
tt0012651,movie,The Haunted Castle,1921,75,6.3,1257,nm0003638,F.W. Murnau,NA,NA,nm0833695,Rudolf Stratz,nm0562346,Carl Mayer,NA,NA
tt0165435,movie,Príchozí z temnot,1921,60,6.4,58,nm0464488,Jan S. Kolár,NA,NA,nm2759498,Karel Hloucha,nm0464488,Jan S. Kolár,NA,NA
tt0240464,movie,Dracula's Death,1921,65,6.8,63,nm0482076,Károly Lajthay,NA,NA,nm0002031,Michael Curtiz,nm0482076,Károly Lajthay,nm0831290,Bram Stoker
tt0337377,movie,The Mechanical Man,1921,80,6,196,nm0214243,André Deed,NA,NA,nm0214243,André Deed,NA,NA,NA,NA
tt0340177,movie,The Island of the Lost,1921,78,5,23,nm0300487,Urban Gad,NA,NA,nm0067033,Hans Behrendt,nm0530731,Bobby E. Lüthge,nm0920229,H.G. Wells
tt0012949,movie,A Blind Bargain,1922,57,6.2,25,nm0941637,Wallace Worsley,NA,NA,nm0370271,J.G. Hawks,nm0656798,Barry Pain,NA,NA
tt0013170,movie,The Ghost Breaker,1922,57,6.7,10,nm0337586,Alfred E. Green,NA,NA,nm0216755,Walter DeLeon,nm0225469,Paul Dickey,nm0323766,Charles W. Goddard
tt0013223,movie,The Headless Horseman,1922,68,4.9,203,nm0893418,Edward D. Venturini,NA,NA,nm0410331,Washington Irving,nm0163349,Carl Stearns Clancy,NA,NA
tt0013257,movie,Häxan,1922,91,7.7,10474,nm0159725,Benjamin Christensen,NA,NA,nm0159725,Benjamin Christensen,NA,NA,NA,NA
tt0013442,movie,Nosferatu,1922,94,7.9,81962,nm0003638,F.W. Murnau,NA,NA,nm0301961,Henrik Galeen,nm0831290,Bram Stoker,NA,NA
tt0013458,movie,One Exciting Night,1922,128,6.5,71,nm0000428,D.W. Griffith,NA,NA,nm0000428,D.W. Griffith,NA,NA,NA,NA
tt0013579,movie,Warning Shadows,1923,90,6.9,783,nm0733208,Arthur Robison,NA,NA,nm0733208,Arthur Robison,nm0774012,Rudolf Schneider,NA,NA
tt0014142,movie,The Hunchback of Notre Dame,1923,133,7.3,4395,nm0941637,Wallace Worsley,NA,NA,nm0401076,Victor Hugo,nm0790622,Perley Poore Sheehan,nm0522871,Edward T. Lowe Jr.
tt0014188,movie,The Last Moment,1923,\N,5.1,7,nm0713787,J. Parker Read Jr.,NA,NA,nm0102250,Jack Boyle,nm0588505,J. Clarkson Miller,NA,NA
tt0014509,movie,Der steinerne Reiter,1923,86,6.8,55,nm0920853,Fritz Wendhausen,NA,NA,nm0920853,Fritz Wendhausen,nm0902376,Thea von Harbou,NA,NA
tt0014602,movie,While Paris Sleeps,1923,60,6.9,19,nm0869665,Maurice Tourneur,NA,NA,nm0073601,Leslie Beresford,nm0321216,Wyndham Gittens,NA,NA
tt0175924,movie,The Monkey's Paw,1923,\N,5.2,12,nm0371463,H. Manning Haynes,NA,NA,nm0371776,Lydia Hayward,nm0414669,W.W. Jacobs,nm0662462,Louis N. Parker
tt0014586,movie,Waxworks,1924,65,6.7,1483,nm0083532,Leo Birinsky,nm0501902,Paul Leni,nm0301961,Henrik Galeen,NA,NA,NA,NA
tt0014826,movie,Dante's Inferno,1924,60,6,87,nm0653253,Henry Otto,NA,NA,nm0939628,Cyrus Wood,nm0332539,Edmund Goulding,nm0019604,Dante Alighieri
tt0015202,movie,The Hands of Orlac,1924,92,7,1970,nm0927468,Robert Wiene,NA,NA,nm0626326,Louis Nerz,nm0719165,Maurice Renard,NA,NA
tt0015771,movie,The case of the murder of Tariel Mklavadze,1925,70,5.7,15,nm0673375,Ivane Perestiani,NA,NA,nm0196609,Shalva Dadiani,nm0632499,Egnate Ninoshvili,NA,NA
tt0016123,movie,The Monster,1925,86,6.3,862,nm0922327,Roland West,NA,NA,nm0922327,Roland West,nm0928108,Crane Wilbur,nm0533102,Willard Mack
tt0016220,movie,The Phantom of the Opera,1925,93,7.6,15281,nm0432216,Rupert Julian,nm0151606,Lon Chaney,nm0503693,Gaston Leroux,nm0031033,Walter Anthony,nm0165470,Elliott J. Clawson
tt0017130,movie,The Bear's Wedding,1925,68,6.9,18,nm0250955,Konstantin Eggert,nm0306723,Vladimir Gardin,nm0337385,Georgiy Grebner,nm0526101,Anatoli Lunacharsky,nm0617737,Prosper Mérimée
tt0016640,movie,The Bells,1926,68,6.5,320,nm0949648,James Young,NA,NA,nm0154087,Alexandre Chatrian,nm0258697,Emile Erckmann,nm0507462,Leopold Lewis
tt0016847,movie,Faust,1926,107,8.1,12837,nm0003638,F.W. Murnau,NA,NA,nm0369458,Gerhart Hauptmann,nm0477515,Hans Kyser,nm0324473,Johann Wolfgang von Goethe
tt0016950,movie,Haunted Range,1926,\N,4.7,7,nm0403636,Paul Hurst,NA,NA,nm0163937,Frank Howard Clark,NA,NA,NA,NA
tt0017048,movie,A Page of Madness,1926,70,7.5,2404,nm0455938,Teinosuke Kinugasa,NA,NA,nm0442704,Yasunari Kawabata,nm0455938,Teinosuke Kinugasa,nm0409467,Minoru Inuzuka
tt0017049,movie,Kyôren no onna shishô,1926,53,6.9,13,nm0003226,Kenji Mizoguchi,NA,NA,nm0442736,Matsutarô Kawaguchi,nm1376345,Enchô San'yûtei,NA,NA
tt0017103,movie,The Magician,1926,83,6.8,497,nm0002271,Rex Ingram,NA,NA,nm0560857,W. Somerset Maugham,nm0002271,Rex Ingram,NA,NA
tt0017139,movie,Midnight Faces,1926,55,5.4,84,nm0169243,Bennett Cohen,NA,NA,nm0169243,Bennett Cohen,nm0791019,Forrest Sheldon,NA,NA
tt0017438,movie,The Man Who Cheated Life,1926,110,7,525,nm0301961,Henrik Galeen,NA,NA,nm0263912,Hanns Heinz Ewers,nm0301961,Henrik Galeen,NA,NA
tt0017739,movie,The Cat and the Canary,1927,108,7.1,2483,nm0501902,Paul Leni,NA,NA,nm0929616,John Willard,nm0384616,Robert F. Hill,nm0169879,Alfred A. Cohn
tt0017947,movie,The Gorilla,1927,80,7.4,18,nm0763453,Alfred Santell,NA,NA,nm0090213,Al Boasberg,nm0169879,Alfred A. Cohn,nm0493836,Sidney Lazarus
tt0018097,movie,London After Midnight,1927,69,6.7,1125,nm0115218,Tod Browning,NA,NA,nm0115218,Tod Browning,nm0950150,Waldemar Young,nm0267868,Joseph Farnham
tt0018528,movie,The Unknown,1927,63,7.8,6596,nm0115218,Tod Browning,NA,NA,nm0115218,Tod Browning,nm0950150,Waldemar Young,nm0267868,Joseph Farnham
tt0018584,movie,The Wizard,1927,60,7.1,31,nm0744514,Richard Rosson,NA,NA,nm0072185,Andrew Bennison,nm0102167,Malcolm Stuart Boylan,nm0398464,Harry O. Hoyt
tt0138661,movie,Noidan kirot,1927,82,6.5,104,nm0700930,Teuvo Puro,NA,NA,nm0441111,Väinö Kataja,nm0700930,Teuvo Puro,NA,NA
tt0187442,movie,The Strange Case of Captain Ramper,1927,50,6.9,14,nm0717126,Max Reichmann,NA,NA,nm0105734,Curt J. Braun,nm1876359,Max Mohr,nm0917467,Paul Wegener
tt0330110,movie,Le manoir de la peur,1927,70,6.9,20,nm0532622,Alfred Machin,nm0943313,Henry Wulschleger,\N,NA,NA,NA,NA,NA
tt0017621,movie,A Daughter of Destiny,1928,108,6.2,260,nm0301961,Henrik Galeen,NA,NA,nm0263912,Hanns Heinz Ewers,nm0301961,Henrik Galeen,NA,NA
tt0018770,movie,The Fall of the House of Usher,1928,63,7.3,3089,nm0258477,Jean Epstein,NA,NA,nm0000590,Edgar Allan Poe,nm0000320,Luis Buñuel,nm0258477,Jean Epstein
tt0019130,movie,The Man Who Laughs,1928,110,7.7,4964,nm0501902,Paul Leni,NA,NA,nm0401076,Victor Hugo,nm0018470,J. Grubb Alexander,nm0031033,Walter Anthony
tt0019456,movie,The Terror,1928,85,7.4,24,nm0215877,Roy Del Ruth,NA,NA,nm0309567,Harvey Gates,nm0413711,Joseph Jackson,nm0908624,Edgar Wallace
tt0020080,movie,The Last Warning,1928,89,6.7,396,nm0501902,Paul Leni,NA,NA,nm0132017,Wadsworth Camp,nm0169879,Alfred A. Cohn,nm0266444,Thomas F. Fallon
tt0018739,movie,Cagliostro - Liebe und Leben eines großen Abenteurers,1929,58,6.4,92,nm0652650,Richard Oswald,NA,NA,nm0433288,Herbert Juttke,nm0458283,Georg C. Klaren,nm1785829,Johannes von Günther
tt0020007,movie,Der Hund von Baskerville,1929,\N,6.9,71,nm0652650,Richard Oswald,NA,NA,nm0236279,Arthur Conan Doyle,nm0433288,Herbert Juttke,nm0458283,Georg C. Klaren
tt0020078,movie,The Last Performance,1929,60,6.7,291,nm0270838,Pál Fejös,NA,NA,nm0031033,Walter Anthony,nm0187256,James Ashmore Creelman,nm0715723,Tom Reed
tt0020430,movie,The Somnambulist,1929,\N,4.4,14,nm0873715,Adolf Trotz,NA,NA,nm0433288,Herbert Juttke,nm0458283,Georg C. Klaren,NA,NA
tt0297175,movie,House of Horror,1929,65,5.5,12,nm0159725,Benjamin Christensen,NA,NA,nm0159725,Benjamin Christensen,nm0592217,Tom Miranda,nm0941280,Cornell Woolrich
tt0321628,movie,Chamber of Horrors,1929,\N,4.9,7,nm0838820,Walter Summers,NA,NA,nm0838820,Walter Summers,NA,NA,NA,NA
tt0020748,movie,The Cat Creeps,1930,75,6.7,50,nm0432216,Rupert Julian,nm0929616,John Willard,nm0929616,John Willard,nm0403398,William Hurlbut,nm0499628,Gladys Lehman
tt0021923,movie,The Gorilla,1930,70,4.7,16,nm0289381,Bryan Foy,NA,NA,nm0817809,Ralph Spence,nm0649913,B. Harrison Orkow,nm0748439,Herman Ruby
tt0211736,movie,La voluntad del muerto,1930,87,4.7,10,nm0577654,George Melford,nm0869801,Enrique Tovar Ávalos,nm0929616,John Willard,nm0499628,Gladys Lehman,nm0403398,William Hurlbut
tt0021650,movie,The Bells,1931,75,6.2,12,nm0854739,Harcourt Templeman,nm0920907,Oscar Friedrich Werndorff,nm0154087,Alexandre Chatrian,nm0199223,C.H. Dand,nm0258697,Emile Erckmann
tt0021814,movie,Dracula,1931,75,7.5,41977,nm0115218,Tod Browning,nm0005713,Karl Freund,nm0831290,Bram Stoker,nm0213019,Hamilton Deane,nm0049721,John L. Balderston
tt0021815,movie,Drácula,1931,104,7.2,3703,nm0869801,Enrique Tovar Ávalos,nm0577654,George Melford,nm0831290,Bram Stoker,nm0273239,Baltasar Fernández Cué,nm0049721,John L. Balderston
tt0021820,movie,The Drums of Jeopardy,1931,75,5.8,181,nm0782707,George B. Seitz,NA,NA,nm0569805,Harold McGrath,nm0753249,Florence Ryerson,NA,NA
tt0021884,movie,Frankenstein,1931,70,7.8,59594,nm0001843,James Whale,NA,NA,nm0049721,John L. Balderston,nm0791217,Mary Shelley,nm0916811,Peggy Webling
tt0021977,movie,The Hound of the Baskervilles,1931,72,6,20,nm0348107,Gareth Gundrey,NA,NA,nm0236279,Arthur Conan Doyle,nm0908624,Edgar Wallace,NA,NA
tt0022028,movie,King of the Wild,1931,248,6.1,70,nm0861703,Richard Thorpe,NA,NA,nm0321216,Wyndham Gittens,nm0066247,Ford Beebe,NA,NA
tt0022103,movie,The Mad Genius,1931,81,6.4,503,nm0002031,Michael Curtiz,NA,NA,nm0114212,Martin Brown,nm0018470,J. Grubb Alexander,nm0857710,Harvey F. Thew
tt0022173,movie,Murder by the Clock,1931,76,6.3,222,nm0806143,Edward Sloman,NA,NA,nm0063570,Charles Beahan,nm0455244,Rufus King,nm0616730,Henry Myers
tt0022265,movie,The Phantom,1931,62,4.4,256,nm0416258,Alan James,NA,NA,nm0416258,Alan James,NA,NA,NA,NA
tt0022454,movie,Svengali,1931,81,6.8,1590,nm0562845,Archie Mayo,NA,NA,nm0238900,George L. Du Maurier,nm0018470,J. Grubb Alexander,NA,NA
tt0022835,movie,Dr. Jekyll and Mr. Hyde,1931,98,7.6,11584,nm0541149,Rouben Mamoulian,NA,NA,nm0388755,Samuel Hoffenstein,nm0372698,Percy Heath,nm0829044,Robert Louis Stevenson
tt0022663,movie,Behind the Mask,1932,68,6.2,200,nm0227020,John Francis Dillon,NA,NA,nm0842485,Jo Swerling,nm0397963,Dorothy Howell,NA,NA
tt0022776,movie,Condemned to Death,1932,75,5,6,nm0285962,Walter Forde,NA,NA,nm1064451,James Dawson,nm0328788,George Goodchild,nm0575197,H. Fowler Mear
tt0022827,movie,Doctor X,1932,76,6.4,2522,nm0002031,Michael Curtiz,NA,NA,nm0850927,Robert Tasker,nm0049898,Earl Baldwin,nm0174106,Howard Warren Comstock
tt0022913,movie,Freaks,1932,64,7.9,38960,nm0115218,Tod Browning,NA,NA,nm0730317,Clarence Aaron 'Tod' Robbins,nm0325135,Willis Goldbeck,nm0330390,Leon Gordon
tt0022929,movie,Geheimnis des blauen Zimmers,1932,73,5.2,9,nm0257288,Erich Engels,NA,NA,nm0513563,Arnold Lipp,nm0680030,Erich Philippi,NA,NA
tt0022981,movie,Haunted Gold,1932,58,5.6,503,nm0942611,Mack V. Wright,NA,NA,nm0119378,Adele Buffington,NA,NA,NA,NA
tt0023101,movie,Kongo,1932,86,6.6,787,nm0184738,William J. Cowen,NA,NA,nm0330390,Leon Gordon,nm0212240,Chester De Vonde,nm0330370,Kilbourn Gordon
tt0023194,movie,The Mask of Fu Manchu,1932,68,6.4,2815,nm0896533,Charles Vidor,nm0102643,Charles Brabin,nm0474114,Irene Kuhn,nm0941138,Edgar Allan Woolf,nm0929616,John Willard
tt0023236,movie,The Monster Walks,1932,63,4.1,742,nm0833965,Frank R. Strayer,NA,NA,nm0000252,Robert Ellis,NA,NA,NA,NA
tt0023245,movie,The Mummy,1932,73,7.1,21085,nm0005713,Karl Freund,NA,NA,nm0701233,Nina Wilcox Putnam,nm0770337,Richard Schayer,nm0049721,John L. Balderston
tt0023247,movie,Murder at Dawn,1932,62,5.1,92,nm0861703,Richard Thorpe,NA,NA,nm0057456,Barry Barringer,NA,NA,NA,NA
tt0023249,movie,Murders in the Rue Morgue,1932,61,6.4,3310,nm0282984,Robert Florey,NA,NA,nm0000590,Edgar Allan Poe,nm0282984,Robert Florey,nm0715723,Tom Reed
tt0023293,movie,The Old Dark House,1932,72,7.2,7926,nm0001843,James Whale,NA,NA,nm0697362,J.B. Priestley,nm0506349,Benn W. Levy,nm0792670,R.C. Sherriff
tt0023572,movie,Thark,1932,79,4.6,8,nm0909398,Tom Walls,NA,NA,nm0871270,Ben Travers,NA,NA,NA,NA
tt0023582,movie,Thirteen Women,1932,73,6.3,964,nm0002179,George Archainbaud,NA,NA,nm0857230,Tiffany Thayer,nm0179993,Bartlett Cormack,nm0650338,Samuel Ornitz
tt0023640,movie,The Living Dead,1932,89,6.5,78,nm0652650,Richard Oswald,NA,NA,nm0325216,Heinz Goldberg,nm0652650,Richard Oswald,nm0000590,Edgar Allan Poe
tt0023649,movie,Vampyr,1932,75,7.6,14131,nm0003433,Carl Theodor Dreyer,NA,NA,nm0494257,Sheridan Le Fanu,nm0432143,Christen Jul,nm0003433,Carl Theodor Dreyer
tt0023694,movie,White Zombie,1932,69,6.4,8416,nm0356931,Victor Halperin,NA,NA,nm0922951,Garnett Weston,nm2690196,William B. Seabrook,NA,NA
tt0024188,movie,Island of Lost Souls,1932,70,7.4,7450,nm0448915,Erle C. Kenton,NA,NA,nm0950150,Waldemar Young,nm0943804,Philip Wylie,nm0920229,H.G. Wells
tt0194949,movie,The Horror,1932,70,3.6,8,nm0689455,Bud Pollard,NA,NA,nm0807411,Basil Smith,nm0689455,Bud Pollard,NA,NA
tt0023235,movie,The Monkey's Paw,1933,58,7,67,nm0749484,Wesley Ruggles,nm0774325,Ernest B. Schoedsack,nm0414669,W.W. Jacobs,nm0424168,Graham John,nm0662462,Louis N. Parker
tt0023874,movie,Il caso Haller,1933,77,7.3,7,nm0087704,Alessandro Blasetti,NA,NA,nm0511317,Paul Lindau,nm0578736,Leo Menardi,NA,NA
tt0024055,movie,The Ghoul,1933,77,5.9,2031,nm0403054,T. Hayes Hunter,NA,NA,nm0236128,Rupert Downing,nm0385693,Leonard Hines,nm0454718,Frank King
tt0024184,movie,The Invisible Man,1933,71,7.7,26649,nm0001843,James Whale,NA,NA,nm0920229,H.G. Wells,nm0792670,R.C. Sherriff,nm0002545,Preston Sturges
tt0024216,movie,King Kong,1933,100,7.9,74552,nm0178260,Merian C. Cooper,nm0774325,Ernest B. Schoedsack,nm0187256,James Ashmore Creelman,nm0741656,Ruth Rose,nm0178260,Merian C. Cooper
tt0024266,movie,The Crying Woman,1933,73,6,107,nm0679283,Ramón Peón,NA,NA,nm1206315,A. Guzman Aguilera,nm0635319,Carlos Noriega Hope,nm0297414,Fernando de Fuentes
tt0024360,movie,Murders in the Zoo,1933,62,6.5,846,nm0840042,A. Edward Sutherland,NA,NA,nm0943804,Philip Wylie,nm0589316,Seton I. Miller,nm0343228,Milton Herbert Gropper
tt0024368,movie,Mystery of the Wax Museum,1933,77,6.8,4210,nm0002031,Michael Curtiz,NA,NA,nm0611920,Don Mullaly,nm0259022,Carl Erickson,nm0067676,Charles Belden
tt0024382,movie,Night of Terror,1933,65,5.7,370,nm0831577,Benjamin Stoloff,NA,NA,nm0888396,Beatrice Van,nm0414673,William Jacobs,nm0533102,Willard Mack
tt0024538,movie,Secret of the Blue Room,1933,66,6.5,575,nm0627087,Kurt Neumann,NA,NA,nm0680030,Erich Philippi,nm0403398,William Hurlbut,NA,NA
